,,Lift,Progression,Timestamp,Weight (lbs)
02/03/2019 10:39:40,Box Step Up,Box Step Up,,22/02/2019 11:20:46,[ 30.]
02/03/2019 10:39:40,Squat,Squat,,22/02/2019 11:20:46,[ 95.]
02/03/2019 10:39:40,Horizontal Push Up,Horizontal Push Up,[nan],22/02/2019 11:20:46,[ 0.]
02/03/2019 10:39:40,Dips,Dips,,22/02/2019 11:20:46,[ 0.]
02/03/2019 10:39:40,Push Up,Push Up,['Foot Elevated'],22/02/2019 11:20:46,
02/03/2019 10:39:40,Deadlift,Deadlift,,22/02/2019 11:20:46,[ nan]
02/03/2019 10:39:40,Wall Facing Squat,Wall Facing Squat,,22/02/2019 11:20:46,[ 0.]
02/03/2019 10:39:40,Split Bench Squat,Split Bench Squat,,22/02/2019 11:20:46,[ 30.]
02/03/2019 10:39:40,Isometric Hang Pinchers,Isometric Hang Pinchers,,22/02/2019 11:20:46,
02/03/2019 10:39:40,Turkish Get-Up,Turkish Get-Up,,22/02/2019 11:20:46,[ 20.]
02/03/2019 10:39:40,Hanging Leg Raise,Hanging Leg Raise,,22/02/2019 11:20:46,[ 0.]
02/03/2019 10:39:40,Pull Up,Pull Up,['Regular'],22/02/2019 11:20:46,[ 0.]
26/02/2019 15:02:45,Box Step Up,Box Step Up,,23/02/2019 21:57:53,[ 40.]
26/02/2019 15:02:45,Squat,Squat,,23/02/2019 21:57:53,[ 95.]
26/02/2019 15:02:45,Horizontal Push Up,Horizontal Push Up,['Legs Elevated'],23/02/2019 21:57:53,[ nan]
26/02/2019 15:02:45,Dips,Dips,,23/02/2019 21:57:53,[ nan]
26/02/2019 15:02:45,Push Up,Push Up,['Foot Elevated'],23/02/2019 21:57:53,
26/02/2019 15:02:45,Deadlift,Deadlift,,23/02/2019 21:57:53,[ 135.]
26/02/2019 15:02:45,Wall Facing Squat,Wall Facing Squat,,23/02/2019 21:57:53,[ nan]
26/02/2019 15:02:45,Split Bench Squat,Split Bench Squat,,23/02/2019 21:57:53,[ 30.]
26/02/2019 15:02:45,Isometric Hang Pinchers,Isometric Hang Pinchers,,23/02/2019 21:57:53,
26/02/2019 15:02:45,Turkish Get-Up,Turkish Get-Up,,23/02/2019 21:57:53,[ 22.5]
26/02/2019 15:02:45,Hanging Leg Raise,Hanging Leg Raise,,23/02/2019 21:57:53,[ nan]
26/02/2019 15:02:45,Pull Up,Pull Up,['Lock Off'],23/02/2019 21:57:53,[ nan]
23/02/2019 21:57:53,Box Step Up,Box Step Up,,26/02/2019 15:02:45,[ 40.]
23/02/2019 21:57:53,Squat,Squat,,26/02/2019 15:02:45,[ 115.]
23/02/2019 21:57:53,Horizontal Push Up,Horizontal Push Up,[nan],26/02/2019 15:02:45,[ nan]
23/02/2019 21:57:53,Dips,Dips,,26/02/2019 15:02:45,[ 0.]
23/02/2019 21:57:53,Push Up,Push Up,['Foot Elevated'],26/02/2019 15:02:45,
23/02/2019 21:57:53,Deadlift,Deadlift,,26/02/2019 15:02:45,[ nan]
23/02/2019 21:57:53,Wall Facing Squat,Wall Facing Squat,,26/02/2019 15:02:45,[ nan]
23/02/2019 21:57:53,Split Bench Squat,Split Bench Squat,,26/02/2019 15:02:45,[ 40.]
23/02/2019 21:57:53,Isometric Hang Pinchers,Isometric Hang Pinchers,,26/02/2019 15:02:45,
23/02/2019 21:57:53,Turkish Get-Up,Turkish Get-Up,,26/02/2019 15:02:45,[ 25.]
23/02/2019 21:57:53,Hanging Leg Raise,Hanging Leg Raise,,26/02/2019 15:02:45,[ 0.]
23/02/2019 21:57:53,Pull Up,Pull Up,['Lock Off'],26/02/2019 15:02:45,[ 0.]
22/02/2019 11:20:46,Box Step Up,Box Step Up,,02/03/2019 10:39:40,[ 60.]
22/02/2019 11:20:46,Squat,Squat,,02/03/2019 10:39:40,[ 135.]
22/02/2019 11:20:46,Horizontal Push Up,Horizontal Push Up,[nan],02/03/2019 10:39:40,[ nan]
22/02/2019 11:20:46,Dips,Dips,,02/03/2019 10:39:40,[ 8.]
22/02/2019 11:20:46,Push Up,Push Up,['Foot Elevated'],02/03/2019 10:39:40,
22/02/2019 11:20:46,Deadlift,Deadlift,,02/03/2019 10:39:40,[ 145.]
22/02/2019 11:20:46,Wall Facing Squat,Wall Facing Squat,,02/03/2019 10:39:40,[ nan]
22/02/2019 11:20:46,Split Bench Squat,Split Bench Squat,,02/03/2019 10:39:40,[ 50.]
22/02/2019 11:20:46,Isometric Hang Pinchers,Isometric Hang Pinchers,,02/03/2019 10:39:40,
22/02/2019 11:20:46,Turkish Get-Up,Turkish Get-Up,,02/03/2019 10:39:40,[ 25.]
22/02/2019 11:20:46,Hanging Leg Raise,Hanging Leg Raise,,02/03/2019 10:39:40,[ nan]
22/02/2019 11:20:46,Pull Up,Pull Up,['Lock Off'],02/03/2019 10:39:40,[ nan]
